,Genotype,Treatment,Behavior,class
0,Control,Memantine,C/S,c-CS-m
1,Control,Memantine,C/S,c-CS-m
2,Control,Memantine,C/S,c-CS-m
3,Control,Memantine,C/S,c-CS-m
4,Control,Memantine,C/S,c-CS-m
5,Control,Memantine,C/S,c-CS-m
6,Control,Memantine,C/S,c-CS-m
7,Control,Memantine,C/S,c-CS-m
8,Control,Memantine,C/S,c-CS-m
9,Control,Memantine,C/S,c-CS-m
10,Control,Memantine,C/S,c-CS-m
11,Control,Memantine,C/S,c-CS-m
12,Control,Memantine,C/S,c-CS-m
13,Control,Memantine,C/S,c-CS-m
14,Control,Memantine,C/S,c-CS-m
15,Control,Memantine,C/S,c-CS-m
16,Control,Memantine,C/S,c-CS-m
17,Control,Memantine,C/S,c-CS-m
18,Control,Memantine,C/S,c-CS-m
19,Control,Memantine,C/S,c-CS-m
20,Control,Memantine,C/S,c-CS-m
21,Control,Memantine,C/S,c-CS-m
22,Control,Memantine,C/S,c-CS-m
23,Control,Memantine,C/S,c-CS-m
24,Control,Memantine,C/S,c-CS-m
25,Control,Memantine,C/S,c-CS-m
26,Control,Memantine,C/S,c-CS-m
27,Control,Memantine,C/S,c-CS-m
28,Control,Memantine,C/S,c-CS-m
29,Control,Memantine,C/S,c-CS-m
30,Control,Memantine,C/S,c-CS-m
31,Control,Memantine,C/S,c-CS-m
32,Control,Memantine,C/S,c-CS-m
33,Control,Memantine,C/S,c-CS-m
34,Control,Memantine,C/S,c-CS-m
35,Control,Memantine,C/S,c-CS-m
36,Control,Memantine,C/S,c-CS-m
37,Control,Memantine,C/S,c-CS-m
38,Control,Memantine,C/S,c-CS-m
39,Control,Memantine,C/S,c-CS-m
40,Control,Memantine,C/S,c-CS-m
41,Control,Memantine,C/S,c-CS-m
42,Control,Memantine,C/S,c-CS-m
43,Control,Memantine,C/S,c-CS-m
44,Control,Memantine,C/S,c-CS-m
45,Control,Memantine,C/S,c-CS-m
46,Control,Memantine,C/S,c-CS-m
47,Control,Memantine,C/S,c-CS-m
48,Control,Memantine,C/S,c-CS-m
49,Control,Memantine,C/S,c-CS-m
50,Control,Memantine,C/S,c-CS-m
51,Control,Memantine,C/S,c-CS-m
52,Control,Memantine,C/S,c-CS-m
53,Control,Memantine,C/S,c-CS-m
54,Control,Memantine,C/S,c-CS-m
55,Control,Memantine,C/S,c-CS-m
56,Control,Memantine,C/S,c-CS-m
57,Control,Memantine,C/S,c-CS-m
58,Control,Memantine,C/S,c-CS-m
59,Control,Memantine,C/S,c-CS-m
60,Control,Memantine,C/S,c-CS-m
61,Control,Memantine,C/S,c-CS-m
62,Control,Memantine,C/S,c-CS-m
63,Control,Memantine,C/S,c-CS-m
64,Control,Memantine,C/S,c-CS-m
65,Control,Memantine,C/S,c-CS-m
66,Control,Memantine,C/S,c-CS-m
67,Control,Memantine,C/S,c-CS-m
68,Control,Memantine,C/S,c-CS-m
69,Control,Memantine,C/S,c-CS-m
70,Control,Memantine,C/S,c-CS-m
71,Control,Memantine,C/S,c-CS-m
72,Control,Memantine,C/S,c-CS-m
73,Control,Memantine,C/S,c-CS-m
74,Control,Memantine,C/S,c-CS-m
75,Control,Memantine,C/S,c-CS-m
76,Control,Memantine,C/S,c-CS-m
77,Control,Memantine,C/S,c-CS-m
78,Control,Memantine,C/S,c-CS-m
79,Control,Memantine,C/S,c-CS-m
80,Control,Memantine,C/S,c-CS-m
81,Control,Memantine,C/S,c-CS-m
82,Control,Memantine,C/S,c-CS-m
83,Control,Memantine,C/S,c-CS-m
84,Control,Memantine,C/S,c-CS-m
85,Control,Memantine,C/S,c-CS-m
86,Control,Memantine,C/S,c-CS-m
87,Control,Memantine,C/S,c-CS-m
88,Control,Memantine,C/S,c-CS-m
89,Control,Memantine,C/S,c-CS-m
90,Control,Memantine,C/S,c-CS-m
91,Control,Memantine,C/S,c-CS-m
92,Control,Memantine,C/S,c-CS-m
93,Control,Memantine,C/S,c-CS-m
94,Control,Memantine,C/S,c-CS-m
95,Control,Memantine,C/S,c-CS-m
96,Control,Memantine,C/S,c-CS-m
97,Control,Memantine,C/S,c-CS-m
98,Control,Memantine,C/S,c-CS-m
99,Control,Memantine,C/S,c-CS-m
100,Control,Memantine,C/S,c-CS-m
101,Control,Memantine,C/S,c-CS-m
102,Control,Memantine,C/S,c-CS-m
103,Control,Memantine,C/S,c-CS-m
104,Control,Memantine,C/S,c-CS-m
105,Control,Memantine,C/S,c-CS-m
106,Control,Memantine,C/S,c-CS-m
107,Control,Memantine,C/S,c-CS-m
108,Control,Memantine,C/S,c-CS-m
109,Control,Memantine,C/S,c-CS-m
110,Control,Memantine,C/S,c-CS-m
111,Control,Memantine,C/S,c-CS-m
112,Control,Memantine,C/S,c-CS-m
113,Control,Memantine,C/S,c-CS-m
114,Control,Memantine,C/S,c-CS-m
115,Control,Memantine,C/S,c-CS-m
116,Control,Memantine,C/S,c-CS-m
117,Control,Memantine,C/S,c-CS-m
118,Control,Memantine,C/S,c-CS-m
119,Control,Memantine,C/S,c-CS-m
120,Control,Memantine,C/S,c-CS-m
121,Control,Memantine,C/S,c-CS-m
122,Control,Memantine,C/S,c-CS-m
123,Control,Memantine,C/S,c-CS-m
124,Control,Memantine,C/S,c-CS-m
125,Control,Memantine,C/S,c-CS-m
126,Control,Memantine,C/S,c-CS-m
127,Control,Memantine,C/S,c-CS-m
128,Control,Memantine,C/S,c-CS-m
129,Control,Memantine,C/S,c-CS-m
130,Control,Memantine,C/S,c-CS-m
131,Control,Memantine,C/S,c-CS-m
132,Control,Memantine,C/S,c-CS-m
133,Control,Memantine,C/S,c-CS-m
134,Control,Memantine,C/S,c-CS-m
135,Control,Memantine,C/S,c-CS-m
136,Control,Memantine,C/S,c-CS-m
137,Control,Memantine,C/S,c-CS-m
138,Control,Memantine,C/S,c-CS-m
139,Control,Memantine,C/S,c-CS-m
140,Control,Memantine,C/S,c-CS-m
141,Control,Memantine,C/S,c-CS-m
142,Control,Memantine,C/S,c-CS-m
143,Control,Memantine,C/S,c-CS-m
144,Control,Memantine,C/S,c-CS-m
145,Control,Memantine,C/S,c-CS-m
146,Control,Memantine,C/S,c-CS-m
147,Control,Memantine,C/S,c-CS-m
148,Control,Memantine,C/S,c-CS-m
149,Control,Memantine,C/S,c-CS-m
150,Control,Memantine,S/C,c-SC-m
151,Control,Memantine,S/C,c-SC-m
152,Control,Memantine,S/C,c-SC-m
153,Control,Memantine,S/C,c-SC-m
154,Control,Memantine,S/C,c-SC-m
155,Control,Memantine,S/C,c-SC-m
156,Control,Memantine,S/C,c-SC-m
157,Control,Memantine,S/C,c-SC-m
158,Control,Memantine,S/C,c-SC-m
159,Control,Memantine,S/C,c-SC-m
160,Control,Memantine,S/C,c-SC-m
161,Control,Memantine,S/C,c-SC-m
162,Control,Memantine,S/C,c-SC-m
163,Control,Memantine,S/C,c-SC-m
164,Control,Memantine,S/C,c-SC-m
165,Control,Memantine,S/C,c-SC-m
166,Control,Memantine,S/C,c-SC-m
167,Control,Memantine,S/C,c-SC-m
168,Control,Memantine,S/C,c-SC-m
169,Control,Memantine,S/C,c-SC-m
170,Control,Memantine,S/C,c-SC-m
171,Control,Memantine,S/C,c-SC-m
172,Control,Memantine,S/C,c-SC-m
173,Control,Memantine,S/C,c-SC-m
174,Control,Memantine,S/C,c-SC-m
175,Control,Memantine,S/C,c-SC-m
176,Control,Memantine,S/C,c-SC-m
177,Control,Memantine,S/C,c-SC-m
178,Control,Memantine,S/C,c-SC-m
179,Control,Memantine,S/C,c-SC-m
180,Control,Memantine,S/C,c-SC-m
181,Control,Memantine,S/C,c-SC-m
182,Control,Memantine,S/C,c-SC-m
183,Control,Memantine,S/C,c-SC-m
184,Control,Memantine,S/C,c-SC-m
185,Control,Memantine,S/C,c-SC-m
186,Control,Memantine,S/C,c-SC-m
187,Control,Memantine,S/C,c-SC-m
188,Control,Memantine,S/C,c-SC-m
189,Control,Memantine,S/C,c-SC-m
190,Control,Memantine,S/C,c-SC-m
191,Control,Memantine,S/C,c-SC-m
192,Control,Memantine,S/C,c-SC-m
193,Control,Memantine,S/C,c-SC-m
194,Control,Memantine,S/C,c-SC-m
195,Control,Memantine,S/C,c-SC-m
196,Control,Memantine,S/C,c-SC-m
197,Control,Memantine,S/C,c-SC-m
198,Control,Memantine,S/C,c-SC-m
199,Control,Memantine,S/C,c-SC-m
200,Control,Memantine,S/C,c-SC-m
201,Control,Memantine,S/C,c-SC-m
202,Control,Memantine,S/C,c-SC-m
203,Control,Memantine,S/C,c-SC-m
204,Control,Memantine,S/C,c-SC-m
205,Control,Memantine,S/C,c-SC-m
206,Control,Memantine,S/C,c-SC-m
207,Control,Memantine,S/C,c-SC-m
208,Control,Memantine,S/C,c-SC-m
209,Control,Memantine,S/C,c-SC-m
210,Control,Memantine,S/C,c-SC-m
211,Control,Memantine,S/C,c-SC-m
212,Control,Memantine,S/C,c-SC-m
213,Control,Memantine,S/C,c-SC-m
214,Control,Memantine,S/C,c-SC-m
215,Control,Memantine,S/C,c-SC-m
216,Control,Memantine,S/C,c-SC-m
217,Control,Memantine,S/C,c-SC-m
218,Control,Memantine,S/C,c-SC-m
219,Control,Memantine,S/C,c-SC-m
220,Control,Memantine,S/C,c-SC-m
221,Control,Memantine,S/C,c-SC-m
222,Control,Memantine,S/C,c-SC-m
223,Control,Memantine,S/C,c-SC-m
224,Control,Memantine,S/C,c-SC-m
225,Control,Memantine,S/C,c-SC-m
226,Control,Memantine,S/C,c-SC-m
227,Control,Memantine,S/C,c-SC-m
228,Control,Memantine,S/C,c-SC-m
229,Control,Memantine,S/C,c-SC-m
230,Control,Memantine,S/C,c-SC-m
231,Control,Memantine,S/C,c-SC-m
232,Control,Memantine,S/C,c-SC-m
233,Control,Memantine,S/C,c-SC-m
234,Control,Memantine,S/C,c-SC-m
235,Control,Memantine,S/C,c-SC-m
236,Control,Memantine,S/C,c-SC-m
237,Control,Memantine,S/C,c-SC-m
238,Control,Memantine,S/C,c-SC-m
239,Control,Memantine,S/C,c-SC-m
240,Control,Memantine,S/C,c-SC-m
241,Control,Memantine,S/C,c-SC-m
242,Control,Memantine,S/C,c-SC-m
243,Control,Memantine,S/C,c-SC-m
244,Control,Memantine,S/C,c-SC-m
245,Control,Memantine,S/C,c-SC-m
246,Control,Memantine,S/C,c-SC-m
247,Control,Memantine,S/C,c-SC-m
248,Control,Memantine,S/C,c-SC-m
249,Control,Memantine,S/C,c-SC-m
250,Control,Memantine,S/C,c-SC-m
251,Control,Memantine,S/C,c-SC-m
252,Control,Memantine,S/C,c-SC-m
253,Control,Memantine,S/C,c-SC-m
254,Control,Memantine,S/C,c-SC-m
255,Control,Memantine,S/C,c-SC-m
256,Control,Memantine,S/C,c-SC-m
257,Control,Memantine,S/C,c-SC-m
258,Control,Memantine,S/C,c-SC-m
259,Control,Memantine,S/C,c-SC-m
260,Control,Memantine,S/C,c-SC-m
261,Control,Memantine,S/C,c-SC-m
262,Control,Memantine,S/C,c-SC-m
263,Control,Memantine,S/C,c-SC-m
264,Control,Memantine,S/C,c-SC-m
265,Control,Memantine,S/C,c-SC-m
266,Control,Memantine,S/C,c-SC-m
267,Control,Memantine,S/C,c-SC-m
268,Control,Memantine,S/C,c-SC-m
269,Control,Memantine,S/C,c-SC-m
270,Control,Memantine,S/C,c-SC-m
271,Control,Memantine,S/C,c-SC-m
272,Control,Memantine,S/C,c-SC-m
273,Control,Memantine,S/C,c-SC-m
274,Control,Memantine,S/C,c-SC-m
275,Control,Memantine,S/C,c-SC-m
276,Control,Memantine,S/C,c-SC-m
277,Control,Memantine,S/C,c-SC-m
278,Control,Memantine,S/C,c-SC-m
279,Control,Memantine,S/C,c-SC-m
280,Control,Memantine,S/C,c-SC-m
281,Control,Memantine,S/C,c-SC-m
282,Control,Memantine,S/C,c-SC-m
283,Control,Memantine,S/C,c-SC-m
284,Control,Memantine,S/C,c-SC-m
285,Control,Memantine,S/C,c-SC-m
286,Control,Memantine,S/C,c-SC-m
287,Control,Memantine,S/C,c-SC-m
288,Control,Memantine,S/C,c-SC-m
289,Control,Memantine,S/C,c-SC-m
290,Control,Memantine,S/C,c-SC-m
291,Control,Memantine,S/C,c-SC-m
292,Control,Memantine,S/C,c-SC-m
293,Control,Memantine,S/C,c-SC-m
294,Control,Memantine,S/C,c-SC-m
295,Control,Memantine,S/C,c-SC-m
296,Control,Memantine,S/C,c-SC-m
297,Control,Memantine,S/C,c-SC-m
298,Control,Memantine,S/C,c-SC-m
299,Control,Memantine,S/C,c-SC-m
300,Control,Saline,C/S,c-CS-s
301,Control,Saline,C/S,c-CS-s
302,Control,Saline,C/S,c-CS-s
303,Control,Saline,C/S,c-CS-s
304,Control,Saline,C/S,c-CS-s
305,Control,Saline,C/S,c-CS-s
306,Control,Saline,C/S,c-CS-s
307,Control,Saline,C/S,c-CS-s
308,Control,Saline,C/S,c-CS-s
309,Control,Saline,C/S,c-CS-s
310,Control,Saline,C/S,c-CS-s
311,Control,Saline,C/S,c-CS-s
312,Control,Saline,C/S,c-CS-s
313,Control,Saline,C/S,c-CS-s
314,Control,Saline,C/S,c-CS-s
315,Control,Saline,C/S,c-CS-s
316,Control,Saline,C/S,c-CS-s
317,Control,Saline,C/S,c-CS-s
318,Control,Saline,C/S,c-CS-s
319,Control,Saline,C/S,c-CS-s
320,Control,Saline,C/S,c-CS-s
321,Control,Saline,C/S,c-CS-s
322,Control,Saline,C/S,c-CS-s
323,Control,Saline,C/S,c-CS-s
324,Control,Saline,C/S,c-CS-s
325,Control,Saline,C/S,c-CS-s
326,Control,Saline,C/S,c-CS-s
327,Control,Saline,C/S,c-CS-s
328,Control,Saline,C/S,c-CS-s
329,Control,Saline,C/S,c-CS-s
330,Control,Saline,C/S,c-CS-s
331,Control,Saline,C/S,c-CS-s
332,Control,Saline,C/S,c-CS-s
333,Control,Saline,C/S,c-CS-s
334,Control,Saline,C/S,c-CS-s
335,Control,Saline,C/S,c-CS-s
336,Control,Saline,C/S,c-CS-s
337,Control,Saline,C/S,c-CS-s
338,Control,Saline,C/S,c-CS-s
339,Control,Saline,C/S,c-CS-s
340,Control,Saline,C/S,c-CS-s
341,Control,Saline,C/S,c-CS-s
342,Control,Saline,C/S,c-CS-s
343,Control,Saline,C/S,c-CS-s
344,Control,Saline,C/S,c-CS-s
345,Control,Saline,C/S,c-CS-s
346,Control,Saline,C/S,c-CS-s
347,Control,Saline,C/S,c-CS-s
348,Control,Saline,C/S,c-CS-s
349,Control,Saline,C/S,c-CS-s
350,Control,Saline,C/S,c-CS-s
351,Control,Saline,C/S,c-CS-s
352,Control,Saline,C/S,c-CS-s
353,Control,Saline,C/S,c-CS-s
354,Control,Saline,C/S,c-CS-s
355,Control,Saline,C/S,c-CS-s
356,Control,Saline,C/S,c-CS-s
357,Control,Saline,C/S,c-CS-s
358,Control,Saline,C/S,c-CS-s
359,Control,Saline,C/S,c-CS-s
360,Control,Saline,C/S,c-CS-s
361,Control,Saline,C/S,c-CS-s
362,Control,Saline,C/S,c-CS-s
363,Control,Saline,C/S,c-CS-s
364,Control,Saline,C/S,c-CS-s
365,Control,Saline,C/S,c-CS-s
366,Control,Saline,C/S,c-CS-s
367,Control,Saline,C/S,c-CS-s
368,Control,Saline,C/S,c-CS-s
369,Control,Saline,C/S,c-CS-s
370,Control,Saline,C/S,c-CS-s
371,Control,Saline,C/S,c-CS-s
372,Control,Saline,C/S,c-CS-s
373,Control,Saline,C/S,c-CS-s
374,Control,Saline,C/S,c-CS-s
375,Control,Saline,C/S,c-CS-s
376,Control,Saline,C/S,c-CS-s
377,Control,Saline,C/S,c-CS-s
378,Control,Saline,C/S,c-CS-s
379,Control,Saline,C/S,c-CS-s
380,Control,Saline,C/S,c-CS-s
381,Control,Saline,C/S,c-CS-s
382,Control,Saline,C/S,c-CS-s
383,Control,Saline,C/S,c-CS-s
384,Control,Saline,C/S,c-CS-s
385,Control,Saline,C/S,c-CS-s
386,Control,Saline,C/S,c-CS-s
387,Control,Saline,C/S,c-CS-s
388,Control,Saline,C/S,c-CS-s
389,Control,Saline,C/S,c-CS-s
390,Control,Saline,C/S,c-CS-s
391,Control,Saline,C/S,c-CS-s
392,Control,Saline,C/S,c-CS-s
393,Control,Saline,C/S,c-CS-s
394,Control,Saline,C/S,c-CS-s
395,Control,Saline,C/S,c-CS-s
396,Control,Saline,C/S,c-CS-s
397,Control,Saline,C/S,c-CS-s
398,Control,Saline,C/S,c-CS-s
399,Control,Saline,C/S,c-CS-s
400,Control,Saline,C/S,c-CS-s
401,Control,Saline,C/S,c-CS-s
402,Control,Saline,C/S,c-CS-s
403,Control,Saline,C/S,c-CS-s
404,Control,Saline,C/S,c-CS-s
405,Control,Saline,C/S,c-CS-s
406,Control,Saline,C/S,c-CS-s
407,Control,Saline,C/S,c-CS-s
408,Control,Saline,C/S,c-CS-s
409,Control,Saline,C/S,c-CS-s
410,Control,Saline,C/S,c-CS-s
411,Control,Saline,C/S,c-CS-s
412,Control,Saline,C/S,c-CS-s
413,Control,Saline,C/S,c-CS-s
414,Control,Saline,C/S,c-CS-s
415,Control,Saline,C/S,c-CS-s
416,Control,Saline,C/S,c-CS-s
417,Control,Saline,C/S,c-CS-s
418,Control,Saline,C/S,c-CS-s
419,Control,Saline,C/S,c-CS-s
420,Control,Saline,C/S,c-CS-s
421,Control,Saline,C/S,c-CS-s
422,Control,Saline,C/S,c-CS-s
423,Control,Saline,C/S,c-CS-s
424,Control,Saline,C/S,c-CS-s
425,Control,Saline,C/S,c-CS-s
426,Control,Saline,C/S,c-CS-s
427,Control,Saline,C/S,c-CS-s
428,Control,Saline,C/S,c-CS-s
429,Control,Saline,C/S,c-CS-s
430,Control,Saline,C/S,c-CS-s
431,Control,Saline,C/S,c-CS-s
432,Control,Saline,C/S,c-CS-s
433,Control,Saline,C/S,c-CS-s
434,Control,Saline,C/S,c-CS-s
435,Control,Saline,S/C,c-SC-s
436,Control,Saline,S/C,c-SC-s
437,Control,Saline,S/C,c-SC-s
438,Control,Saline,S/C,c-SC-s
439,Control,Saline,S/C,c-SC-s
440,Control,Saline,S/C,c-SC-s
441,Control,Saline,S/C,c-SC-s
442,Control,Saline,S/C,c-SC-s
443,Control,Saline,S/C,c-SC-s
444,Control,Saline,S/C,c-SC-s
445,Control,Saline,S/C,c-SC-s
446,Control,Saline,S/C,c-SC-s
447,Control,Saline,S/C,c-SC-s
448,Control,Saline,S/C,c-SC-s
449,Control,Saline,S/C,c-SC-s
450,Control,Saline,S/C,c-SC-s
451,Control,Saline,S/C,c-SC-s
452,Control,Saline,S/C,c-SC-s
453,Control,Saline,S/C,c-SC-s
454,Control,Saline,S/C,c-SC-s
455,Control,Saline,S/C,c-SC-s
456,Control,Saline,S/C,c-SC-s
457,Control,Saline,S/C,c-SC-s
458,Control,Saline,S/C,c-SC-s
459,Control,Saline,S/C,c-SC-s
460,Control,Saline,S/C,c-SC-s
461,Control,Saline,S/C,c-SC-s
462,Control,Saline,S/C,c-SC-s
463,Control,Saline,S/C,c-SC-s
464,Control,Saline,S/C,c-SC-s
465,Control,Saline,S/C,c-SC-s
466,Control,Saline,S/C,c-SC-s
467,Control,Saline,S/C,c-SC-s
468,Control,Saline,S/C,c-SC-s
469,Control,Saline,S/C,c-SC-s
470,Control,Saline,S/C,c-SC-s
471,Control,Saline,S/C,c-SC-s
472,Control,Saline,S/C,c-SC-s
473,Control,Saline,S/C,c-SC-s
474,Control,Saline,S/C,c-SC-s
475,Control,Saline,S/C,c-SC-s
476,Control,Saline,S/C,c-SC-s
477,Control,Saline,S/C,c-SC-s
478,Control,Saline,S/C,c-SC-s
479,Control,Saline,S/C,c-SC-s
480,Control,Saline,S/C,c-SC-s
481,Control,Saline,S/C,c-SC-s
482,Control,Saline,S/C,c-SC-s
483,Control,Saline,S/C,c-SC-s
484,Control,Saline,S/C,c-SC-s
485,Control,Saline,S/C,c-SC-s
486,Control,Saline,S/C,c-SC-s
487,Control,Saline,S/C,c-SC-s
488,Control,Saline,S/C,c-SC-s
489,Control,Saline,S/C,c-SC-s
490,Control,Saline,S/C,c-SC-s
491,Control,Saline,S/C,c-SC-s
492,Control,Saline,S/C,c-SC-s
493,Control,Saline,S/C,c-SC-s
494,Control,Saline,S/C,c-SC-s
495,Control,Saline,S/C,c-SC-s
496,Control,Saline,S/C,c-SC-s
497,Control,Saline,S/C,c-SC-s
498,Control,Saline,S/C,c-SC-s
499,Control,Saline,S/C,c-SC-s
500,Control,Saline,S/C,c-SC-s
501,Control,Saline,S/C,c-SC-s
502,Control,Saline,S/C,c-SC-s
503,Control,Saline,S/C,c-SC-s
504,Control,Saline,S/C,c-SC-s
505,Control,Saline,S/C,c-SC-s
506,Control,Saline,S/C,c-SC-s
507,Control,Saline,S/C,c-SC-s
508,Control,Saline,S/C,c-SC-s
509,Control,Saline,S/C,c-SC-s
510,Control,Saline,S/C,c-SC-s
511,Control,Saline,S/C,c-SC-s
512,Control,Saline,S/C,c-SC-s
513,Control,Saline,S/C,c-SC-s
514,Control,Saline,S/C,c-SC-s
515,Control,Saline,S/C,c-SC-s
516,Control,Saline,S/C,c-SC-s
517,Control,Saline,S/C,c-SC-s
518,Control,Saline,S/C,c-SC-s
519,Control,Saline,S/C,c-SC-s
520,Control,Saline,S/C,c-SC-s
521,Control,Saline,S/C,c-SC-s
522,Control,Saline,S/C,c-SC-s
523,Control,Saline,S/C,c-SC-s
524,Control,Saline,S/C,c-SC-s
525,Control,Saline,S/C,c-SC-s
526,Control,Saline,S/C,c-SC-s
527,Control,Saline,S/C,c-SC-s
528,Control,Saline,S/C,c-SC-s
529,Control,Saline,S/C,c-SC-s
530,Control,Saline,S/C,c-SC-s
531,Control,Saline,S/C,c-SC-s
